Block_ID,VRR_Frequency,Observer_color_value,Size_Degree,Repeat_ID
0,4.0,0.0985,16,0
1,0.5,0.09799999999999989,full,0
2,4.0,0.06650000000000005,0.5,0
3,0.5,0.07100000000000005,1,0
4,2.0,0.08400000000000003,16,0
5,0.5,0.07950000000000003,16,0
6,8.0,0.10149999999999983,1,0
7,2.0,0.07300000000000005,0.5,0
8,8.0,0.09350000000000006,16,0
9,1.0,0.07649999999999993,1,0
10,2.0,0.09099999999999997,full,0
11,8.0,0.1015,full,0
12,8.0,0.0765,0.5,0
13,0.5,0.053999999999999826,0.5,0
14,1.0,0.07500000000000005,16,0
15,4.0,0.11199999999999986,full,0
16,2.0,0.09099999999999987,1,0
17,4.0,0.09749999999999988,1,0
18,1.0,0.10400000000000004,full,0
19,1.0,0.09150000000000003,0.5,0
0,1.0,0.08949999999999998,16,1
1,0.5,0.09100000000000004,full,1
2,1.0,0.09750000000000004,full,1
3,4.0,0.08749999999999988,1,1
4,2.0,0.09200000000000007,1,1
5,1.0,0.08200000000000003,1,1
6,1.0,0.08050000000000006,0.5,1
7,2.0,0.09099999999999997,16,1
8,0.5,0.08200000000000006,16,1
9,8.0,0.08649999999999985,1,1
10,2.0,0.06599999999999984,0.5,1
11,4.0,0.09850000000000007,full,1
12,8.0,0.10599999999999982,16,1
13,8.0,0.11400000000000009,full,1
14,0.5,0.07799999999999997,1,1
15,0.5,0.06899999999999992,0.5,1
16,8.0,0.07000000000000005,0.5,1
17,2.0,0.09749999999999986,full,1
18,4.0,0.09199999999999986,16,1
19,4.0,0.08449999999999987,0.5,1
